rank_tier,rank_range,deckAbilityName,winrate_pct,playrate_pct
1,30-26,Arachas Swarm,53.24,1.64
1,30-26,Blaze of Glory,46.99,0.08
1,30-26,Blood Money,44.41,0.23
1,30-26,Blood Scent,52.56,4.35
1,30-26,Call of Harmony,53.82,0.16
1,30-26,Carapace,44.92,22.49
1,30-26,Congregate,39.85,0.09
1,30-26,Deadeye Ambush,61.88,0.97
1,30-26,Death's Shadow,50.42,3.49
1,30-26,Doulbe Cross,46.5,1.99
1,30-26,Enslave,53.29,0.55
1,30-26,Force of Nature,48.82,3.94
1,30-26,Fruits of Ysgith,67.29,1.76
1,30-26,Guerilla Tactics,52.01,0.91
1,30-26,Hidden Cache,68.25,0.38
1,30-26,Imperial Formation,54.11,1.97
1,30-26,Imposter,55.6,0.96
1,30-26,Inspired Zeal,51.71,9.64
1,30-26,Invigorate,45.64,8.26
1,30-26,Jackpot,41.54,0.18
1,30-26,Lined Pockets,37.28,0.08
1,30-26,Lockdown,55.93,1.33
1,30-26,Mahakam Forge,55.52,0.61
1,30-26,Mobilization,57.59,0.79
1,30-26,Mystic Echo,63.11,0.46
1,30-26,Off the Books,47.33,0.1
1,30-26,Onslaught,47.81,7.3
1,30-26,Overwhelming Hunger,53.9,2.42
1,30-26,Patricidal Fury,56.07,0.99
1,30-26,Pincer Maneuver,60.53,1.12
1,30-26,Precision Strike,55.96,0.71
1,30-26,Reckless Fury,50.12,1.47
1,30-26,Royal Inspiration,62.4,02.02
1,30-26,Sacraficial Vanguard,44.64,0.24
1,30-26,Second Wind,59.04,0.55
1,30-26,Stockpile,50.21,0.6
1,30-26,Strategic Withdrawal,44.48,09.04
1,30-26,Tactical Decision,51.01,1.63
1,30-26,Uprising,69.62,1.43
1,30-26,Ursine Ritual,55.89,0.64
1,30-26,Vicious Slash,56.54,2.37
1,30-26,Wild Card,45.6,0.06
2,25-15,Arachas Swarm,50.67,2.61
2,25-15,Blaze of Glory,52,0.16
2,25-15,Blood Money,51.52,0.61
2,25-15,Blood Scent,50.51,5.78
2,25-15,Call of Harmony,51.26,0.63
2,25-15,Carapace,43.62,6.14
2,25-15,Congregate,43.04,0.24
2,25-15,Deadeye Ambush,58.89,3.29
2,25-15,Death's Shadow,50.75,5.77
2,25-15,Doulbe Cross,43.05,2.92
2,25-15,Enslave,53.3,1.49
2,25-15,Force of Nature,46.55,2.6
2,25-15,Fruits of Ysgith,54.64,3.58
2,25-15,Guerilla Tactics,47.92,1.65
2,25-15,Hidden Cache,63.51,2.49
2,25-15,Imperial Formation,52.76,2.86
2,25-15,Imposter,52.32,2.56
2,25-15,Inspired Zeal,43.92,3.43
2,25-15,Invigorate,42.98,3.97
2,25-15,Jackpot,40.75,0.35
2,25-15,Lined Pockets,38.53,0.23
2,25-15,Lockdown,49.49,3.5
2,25-15,Mahakam Forge,49.16,1.1
2,25-15,Mobilization,50.89,1.72
2,25-15,Mystic Echo,59.6,02.09
2,25-15,Off the Books,48.24,0.38
2,25-15,Onslaught,43.64,2.94
2,25-15,Overwhelming Hunger,50.01,3.79
2,25-15,Patricidal Fury,50.27,1.85
2,25-15,Pincer Maneuver,51.09,3.11
2,25-15,Precision Strike,57.73,1.6
2,25-15,Reckless Fury,48.3,1.55
2,25-15,Royal Inspiration,50.06,3.6
2,25-15,Sacraficial Vanguard,43.92,0.37
2,25-15,Second Wind,56.3,1.7
2,25-15,Stockpile,44.58,1.21
2,25-15,Strategic Withdrawal,42.67,3.62
2,25-15,Tactical Decision,48.44,2.77
2,25-15,Uprising,57.75,3.83
2,25-15,Ursine Ritual,55.1,2.21
2,25-15,Vicious Slash,48.27,3.48
2,25-15,Wild Card,47.38,0.24
3,14-Aug,Arachas Swarm,50.06,2.39
3,14-Aug,Blaze of Glory,49.6,0.51
3,14-Aug,Blood Money,49.43,0.63
3,14-Aug,Blood Scent,49.85,3.27
3,14-Aug,Call of Harmony,46.59,0.72
3,14-Aug,Carapace,42.64,1.67
3,14-Aug,Congregate,49.13,0.52
3,14-Aug,Deadeye Ambush,55.8,4.82
3,14-Aug,Death's Shadow,47.7,6.39
3,14-Aug,Doulbe Cross,40.84,2.58
3,14-Aug,Enslave,50.92,2.37
3,14-Aug,Force of Nature,42.15,0.99
3,14-Aug,Fruits of Ysgith,50.6,02.07
3,14-Aug,Guerilla Tactics,43.29,1.7
3,14-Aug,Hidden Cache,60.73,6.73
3,14-Aug,Imperial Formation,51.49,3.8
3,14-Aug,Imposter,51,4.73
3,14-Aug,Inspired Zeal,44.87,1.71
3,14-Aug,Invigorate,38.09,1.19
3,14-Aug,Jackpot,39.59,0.24
3,14-Aug,Lined Pockets,37.16,0.22
3,14-Aug,Lockdown,49.6,4.98
3,14-Aug,Mahakam Forge,44.1,1.35
3,14-Aug,Mobilization,47.44,1.98
3,14-Aug,Mystic Echo,56.87,3.78
3,14-Aug,Off the Books,44.12,0.44
3,14-Aug,Onslaught,44.38,1.12
3,14-Aug,Overwhelming Hunger,46.83,3.66
3,14-Aug,Patricidal Fury,49.08,1.69
3,14-Aug,Pincer Maneuver,46.57,03.06
3,14-Aug,Precision Strike,53.89,1.65
3,14-Aug,Reckless Fury,48.35,1.12
3,14-Aug,Royal Inspiration,45.43,2.29
3,14-Aug,Sacraficial Vanguard,43.4,0.66
3,14-Aug,Second Wind,53.43,3.19
3,14-Aug,Stockpile,42.57,1.1
3,14-Aug,Strategic Withdrawal,42.12,2.7
3,14-Aug,Tactical Decision,49.07,3.27
3,14-Aug,Uprising,56.17,06.05
3,14-Aug,Ursine Ritual,53.31,4.27
