rank_tier,rank_range,deckAbilityName,winrate_pct,playrate_pct
1,30-26,Fruits of Ysgith,67.74,1.78
1,30-26,Mystic Echo,64.49,0.47
1,30-26,Precision Strike,63.37,0.93
1,30-26,Royal Inspiration,62.64,2.44
1,30-26,Pincer Maneuver,62.38,1.64
1,30-26,Second Wind,61.53,0.64
1,30-26,Deadeye Ambush,61.38,0.94
1,30-26,Blood Money,58.61,0.34
1,30-26,Mobilization,58.19,0.82
1,30-26,Vicious Slash,56.88,2.79
1,30-26,Imperial Formation,56.5,2.17
1,30-26,Enslave,55.96,0.76
1,30-26,Arachas Swarm,55.62,1.89
1,30-26,Wild Card,54.78,0.11
1,30-26,Blood Scent,54.46,5.38
1,30-26,Lockdown,54.25,1.25
1,30-26,Call of Harmony,53.57,0.19
1,30-26,Off the Books,53.04,0.12
1,30-26,Inspired Zeal,52.1,10.64
1,30-26,Guerilla Tactics,51.21,0.9
1,30-26,Tactical Decision,51.19,1.8
1,30-26,Reckless Fury,50.92,1.55
1,30-26,Stockpile,49.27,0.61
1,30-26,Death's Shadow,48.79,3.54
1,30-26,Onslaught,48.78,7.4
1,30-26,Force of Nature,48.47,04.02
1,30-26,Jackpot,47.62,0.21
1,30-26,Ursine Ritual,47.45,0.46
1,30-26,Doulbe Cross,46.58,2.22
1,30-26,Invigorate,46.34,8.33
1,30-26,Strategic Withdrawal,45.04,9.65
1,30-26,Sacraficial Vanguard,45.03,0.25
1,30-26,Carapace,44.16,22.53
1,30-26,Lined Pockets,40.72,0.11
1,30-26,Congregate,39.62,0.09
1,30-26,Patricidal Fury,56,1
