rank_tier,rank_range,deckAbilityName,winrate_pct,playrate_pct
1,30-26,Mystic Echo,71.64,0.7
1,30-26,Uprising,66.84,1.87
1,30-26,Fruits of Ysgith,66.72,2.5
1,30-26,Second Wind,62.9,0.79
1,30-26,Deadeye Ambush,62.73,0.97
1,30-26,Royal Inspiration,61.49,2.11
1,30-26,Pincer Maneuver,59.23,01.03
1,30-26,Precision Strike,57.65,0.69
1,30-26,Call of Harmony,56.82,0.21
1,30-26,Mobilization,56.44,0.72
1,30-26,Patricidal Fury,56.42,01.08
1,30-26,Ursine Ritual,55.88,0.74
1,30-26,Imposter,55.63,1.74
1,30-26,Imperial Formation,55.61,02.02
1,30-26,Lockdown,54.93,1.56
1,30-26,Vicious Slash,54.79,1.99
1,30-26,Mahakam Forge,54.67,0.96
1,30-26,Hidden Cache,54.43,0.28
1,30-26,Overwhelming Hunger,54.41,3.58
1,30-26,Arachas Swarm,54.32,1.68
1,30-26,Enslave,53.82,0.52
1,30-26,Blood Scent,52.72,3.47
1,30-26,Blaze of Glory,52.49,0.25
1,30-26,Guerilla Tactics,52.11,01.01
1,30-26,Off the Books,51.4,0.15
1,30-26,Inspired Zeal,50.56,9.1
1,30-26,Tactical Decision,50.13,1.52
1,30-26,Reckless Fury,49.26,1.38
1,30-26,Stockpile,49.19,0.62
1,30-26,Force of Nature,47.9,3.17
1,30-26,Onslaught,47.43,7.75
1,30-26,Doulbe Cross,45.9,1.78
1,30-26,Invigorate,45.58,7.84
1,30-26,Blood Money,45.43,0.3
1,30-26,Sacraficial Vanguard,44.94,0.25
1,30-26,Wild Card,44.73,0.07
1,30-26,Carapace,44.29,21.21
1,30-26,Strategic Withdrawal,43.7,8.79
1,30-26,Congregate,40.71,0.11
1,30-26,Jackpot,37.49,0.17
1,30-26,Lined Pockets,36.4,0.11
1,30-26,Death's Shadow,50,3.19
