rank_tier,rank_range,deckAbilityName,winrate_pct,playrate_pct
1,30-26,Arachas Swarm,49.78,1.39
1,30-26,Battle Trance,43.68,0.33
1,30-26,Blaze of Glory,51.94,0.20
1,30-26,Blood Money,30.97,0.16
1,30-26,Blood Scent,48.31,3.06
1,30-26,Call of Harmony,50.69,0.42
1,30-26,Carapace,50.27,23.24
1,30-26,Congregate,49.71,0.20
1,30-26,Deadeye Ambush,59.29,0.81
1,30-26,Double Cross,43.50,1.77
1,30-26,Enslave,50.91,0.51
1,30-26,Force of Nature,51.73,4.29
1,30-26,Fruits of Ysgith,67.39,2.27
1,30-26,Guerilla Tactics,49.62,1.01
1,30-26,Hidden Cache,57.61,0.26
1,30-26,Imperial Formation,45.69,1.35
1,30-26,Imposter,51.59,1.45
1,30-26,Imprisonment,44.53,9.35
1,30-26,Inspired Zeal,46.63,9.31
1,30-26,Invigorate,45.01,7.85
1,30-26,Jackpot,31.20,0.11
1,30-26,Lined Pockets,35.58,0.07
1,30-26,Lockdown,51.65,1.61
1,30-26,Mahakam Forge,55.57,0.85
1,30-26,Mobilization,53.28,0.95
1,30-26,Nature's Gift,60.30,0.98
1,30-26,Off the Books,44.21,0.08
1,30-26,Onslaught,43.72,7.19
1,30-26,Overwhelming Hunger,56.16,3.88
1,30-26,Patricidal Fury,60.61,1.31
1,30-26,Pincer Maneuver,49.99,0.87
1,30-26,Pirate's Cove,35.19,0.06
1,30-26,Precision Strike,50.65,0.55
1,30-26,Rage of the Sea,71.13,0.62
1,30-26,Reckless Fury,46.77,1.44
1,30-26,Royal Inspiration,58.33,2.12
1,30-26,Shieldwall,62.61,2.31
1,30-26,Stockpile,45.21,0.63
1,30-26,Tactical Decision,45.87,1.33
1,30-26,Uprising,64.03,1.69
1,30-26,Ursine Ritual,52.55,0.61
1,30-26,White Frost,51.87,1.50
2,25-15,Arachas Swarm,47.86,1.94
2,25-15,Battle Trance,52.14,0.79
2,25-15,Blaze of Glory,58.01,0.46
2,25-15,Blood Money,39.00,0.28
