rank_tier,rank_range,deckAbilityName,winrate_pct,playrate_pct
1,30-26,Fruits of Ysgith,68.91,2.31
1,30-26,Shieldwall,63.17,1.92
1,30-26,Rage of the Sea,62.75,0.46
1,30-26,Uprising,62.23,1.62
1,30-26,Patricidal Fury,60.12,1.21
1,30-26,Deadeye Ambush,60.09,0.8
1,30-26,Nature's Gift,59.86,1
1,30-26,Overwhelming Hunger,59.03,04.01
1,30-26,Royal Inspiration,57.99,2.11
1,30-26,Congregate,57.19,0.25
1,30-26,Hidden Cache,55.94,0.26
1,30-26,Mahakam Forge,55.68,0.87
1,30-26,Mobilization,54.46,0.99
1,30-26,Lockdown,52.83,1.51
1,30-26,Enslave,52.67,0.5
1,30-26,Imposter,52.55,1.33
1,30-26,Precision Strike,52.11,0.59
1,30-26,Carapace,51.76,24.43
1,30-26,White Frost,51.45,1.44
1,30-26,Force of Nature,51.34,4.37
1,30-26,Pincer Maneuver,50.76,0.85
1,30-26,Ursine Ritual,50.76,0.68
1,30-26,Battle Trance,49.44,0.35
1,30-26,Arachas Swarm,49.15,1.35
1,30-26,Guerilla Tactics,49.12,0.99
1,30-26,Blaze of Glory,49.07,0.14
1,30-26,Call of Harmony,48.45,0.45
1,30-26,Blood Scent,48.21,2.96
1,30-26,Reckless Fury,46.51,1.29
1,30-26,Inspired Zeal,46.17,9.48
1,30-26,Stockpile,45.85,0.62
1,30-26,Tactical Decision,44.91,1.21
1,30-26,Double Cross,44.38,1.6
1,30-26,Imperial Formation,43.75,1.22
1,30-26,Invigorate,43.65,7.83
1,30-26,Imprisonment,43.44,9.29
1,30-26,Off the Books,43.14,0.1
1,30-26,Onslaught,41.82,7.12
1,30-26,Pirate's Cove,36.79,0.07
1,30-26,Jackpot,34.31,0.12
1,30-26,Lined Pockets,33.6,0.09
1,30-26,Blood Money,33.0,0.25
