RANK_TIER,RANK_RANGE,DECKABILITYNAME,WINRATE_PCT,PLAYRATE_PCT
1,30-26,Fruits of Ysgith,65.39,1.68
1,30-26,Uprising,63.84,1.09
1,30-26,Shieldwall,61.79,1.22
1,30-26,Lockdown,59.55,1.04
1,30-26,Patricidal Fury,59.09,0.91
1,30-26,Deadeye Ambush,58.06,0.52
1,30-26,Royal Inspiration,57.6,1.55
1,30-26,Imposter,56.73,0.96
1,30-26,Guerilla Tactics,56.52,0.99
1,30-26,Mobilization,56.34,0.71
1,30-26,Overwhelming Hunger,55.78,2.95
1,30-26,Mahakam Forge,55.43,0.58
1,30-26,Rage of the Sea,54.23,0.21
1,30-26,Arachas Swarm,53.56,1.44
1,30-26,Nature's Gift,53.47,0.54
1,30-26,Precision Strike,53.38,0.47
1,30-26,Enslave,53.36,0.35
1,30-26,Hidden Cache,53.19,0.15
1,30-26,Force of Nature,52.28,4.28
1,30-26,Ursine Ritual,51.76,0.53
1,30-26,Carapace,51.47,28.98
1,30-26,Pincer Maneuver,50.52,0.69
1,30-26,Tactical Decision,49.53,0.96
1,30-26,Congregate,49.52,0.16
1,30-26,Reckless Flurry,49.1,1.2
1,30-26,Double Cross,49.03,1.24
1,30-26,Imprisonment,48.71,10.47
1,30-26,Blood Scent,48.66,2.15
1,30-26,Inspired Zeal,48.44,10.96
1,30-26,White Frost,46.97,1.18
1,30-26,Imperial Formation,46.66,1.02
1,30-26,Off the Books,46.36,0.12
1,30-26,Stockpile,45.21,0.49
1,30-26,Battle Trance,44.69,0.19
1,30-26,Call of Harmony,43.67,0.31
1,30-26,Blaze of Glory,43.4,0.13
1,30-26,Invigorate,43.28,8.71
1,30-26,Onslaught,41.12,8.43
1,30-26,Lined Pockets,36.76,0.1
1,30-26,Pirate's Cove,32.24,0.06
1,30-26,Jackpot,31.06,0.12
1,30-26,Blood Money,28.95,0.19
