RANK_TIER,RANK_RANGE,DECKABILITYNAME,WINRATE_PCT,PLAYRATE_PCT
1,30-26,Fruits of Ysgith,69.75,1.52
1,30-26,Uprising,67.84,1.23
1,30-26,Patricidal Fury,59.5,0.82
1,30-26,Lockdown,58.88,1.18
1,30-26,Shieldwall,58.59,1.17
1,30-26,Royal Inspiration,58.36,1.65
1,30-26,Deadeye Ambush,56.76,0.6
1,30-26,Enslave,56.61,0.35
1,30-26,Overwhelming Hunger,55.9,2.83
1,30-26,Hidden Cache,55.5,0.15
1,30-26,Mahakam Forge,54.79,0.55
1,30-26,Imposter,54.56,0.96
1,30-26,Mobilization,54.29,0.78
1,30-26,Guerilla Tactics,53.97,0.97
1,30-26,Precision Strike,53.88,0.52
1,30-26,Nature's Gift,53.69,0.51
1,30-26,Force of Nature,52.1,4.52
1,30-26,Carapace,51.63,28.05
1,30-26,Rage of the Sea,51.17,0.16
1,30-26,Off the Books,51.1,0.09
1,30-26,Arachas Swarm,50.69,1.55
1,30-26,Battle Trance,50.27,0.19
1,30-26,Tactical Decision,49.95,1.03
1,30-26,Pincer Maneuver,49.93,0.74
1,30-26,Double Cross,49.92,1.37
1,30-26,Inspired Zeal,49.08,11.19
1,30-26,Imprisonment,48.5,10.3
1,30-26,Reckless Flurry,48.19,1.29
1,30-26,Blood Scent,48.09,2.36
1,30-26,Ursine Ritual,47.7,0.5
1,30-26,Blaze of Glory,47.65,0.12
1,30-26,White Frost,47.37,1.17
1,30-26,Stockpile,46.87,0.51
1,30-26,Call of Harmony,46.47,0.26
1,30-26,Imperial Formation,45.47,1.03
1,30-26,Congregate,43.65,0.13
1,30-26,Invigorate,43.46,8.93
1,30-26,Onslaught,40.26,8.3
1,30-26,Lined Pockets,32.89,0.08
1,30-26,Blood Money,30.48,0.17
1,30-26,Jackpot,28.96,0.09
1,30-26,Pirate's Cove,22.81,0.06
